Date,Open,High,Low,Close
2010-06-30,55.5,55.5,55.5,55.5
2010-07-30,55.8,55.8,55.8,55.8
2010-08-31,55.9,55.9,55.9,55.9
2010-09-30,54.1,54.1,54.1,54.1
2010-10-29,53.3,53.3,53.3,53.3
2010-11-30,55.4,55.4,55.4,55.4
2010-12-31,54.2,54.2,54.2,54.2
2011-01-31,55.9,55.9,55.9,55.9
2011-02-28,56.8,56.8,56.8,56.8
2011-03-31,57.2,57.2,57.2,57.2
2011-04-29,56.7,56.7,56.7,56.7
2011-05-31,56,56,56,56
2011-06-30,53.7,53.7,53.7,53.7
2011-07-29,51.6,51.6,51.6,51.6
2011-08-31,49.1,49.1,49.1,49.1
2011-09-30,48.8,48.8,48.8,48.8
2011-10-31,46.4,46.4,46.4,46.4
2011-11-30,47.5,47.5,47.5,47.5
2011-12-30,48.8,48.8,48.8,48.8
2012-01-31,50.4,50.4,50.4,50.4
2012-02-29,48.8,48.8,48.8,48.8
2012-03-30,49.2,49.2,49.2,49.2
2012-04-30,46.9,46.9,46.9,46.9
2012-05-31,46.7,46.7,46.7,46.7
2012-06-29,47.1,47.1,47.1,47.1
2012-07-31,47.9,47.9,47.9,47.9
2012-08-31,47.2,47.2,47.2,47.2
2012-09-28,46.1,46.1,46.1,46.1
2012-10-31,46,46,46,46
2012-11-30,46.7,46.7,46.7,46.7
2012-12-31,47.8,47.8,47.8,47.8
2013-01-31,48.6,48.6,48.6,48.6
2013-02-28,47.9,47.9,47.9,47.9
2013-03-29,46.4,46.4,46.4,46.4
2013-04-30,47,47,47,47
2013-05-31,47.2,47.2,47.2,47.2
2013-06-28,48.3,48.3,48.3,48.3
2013-07-31,49.8,49.8,49.8,49.8
2013-08-30,50.7,50.7,50.7,50.7
2013-09-30,52.2,52.2,52.2,52.2
2013-10-31,51.6,51.6,51.6,51.6
2013-11-29,51.2,51.2,51.2,51.2
2013-12-31,51,51,51,51
2014-01-31,51.6,51.6,51.6,51.6
2014-02-28,52.6,52.6,52.6,52.6
2014-03-31,52.2,52.2,52.2,52.2
2014-04-30,53.1,53.1,53.1,53.1
2014-05-30,53.2,53.2,53.2,53.2
2014-06-30,52.8,52.8,52.8,52.8
2014-07-31,54.2,54.2,54.2,54.2
2014-08-29,53.1,53.1,53.1,53.1
2014-09-30,52.4,52.4,52.4,52.4
2014-10-31,52.3,52.3,52.3,52.3
2014-11-28,51.1,51.1,51.1,51.1
2014-12-31,51.6,51.6,51.6,51.6
2015-01-30,52.7,52.7,52.7,52.7
2015-02-27,53.7,53.7,53.7,53.7
2015-03-31,54.2,54.2,54.2,54.2
2015-04-30,54.1,54.1,54.1,54.1
2015-05-29,53.8,53.8,53.8,53.8
2015-06-30,54.4,54.4,54.4,54.4
2015-07-31,54,54,54,54
2015-08-31,54.4,54.4,54.4,54.4
2015-09-30,53.7,53.7,53.7,53.7
2015-10-30,54.1,54.1,54.1,54.1
2015-11-30,54.2,54.2,54.2,54.2
2015-12-31,54.2,54.2,54.2,54.2
2016-01-29,53.6,53.6,53.6,53.6
2016-02-29,53.3,53.3,53.3,53.3
2016-03-31,53.1,53.1,53.1,53.1
2016-04-29,53.1,53.1,53.1,53.1
2016-05-31,53.3,53.3,53.3,53.3
2016-06-30,52,52,52,52
2016-07-29,52.9,52.9,52.9,52.9
2016-08-31,52.8,52.8,52.8,52.8
2016-09-30,52.2,52.2,52.2,52.2
2016-10-31,52.8,52.8,52.8,52.8
2016-11-30,53.1,53.1,53.1,53.1
2016-12-30,53.7,53.7,53.7,53.7
2017-01-31,53.7,53.7,53.7,53.7
2017-02-28,55.5,55.5,55.5,55.5
2017-03-31,56,56,56,56
2017-04-28,56.4,56.4,56.4,56.4
2017-05-31,55.4,55.4,55.4,55.4
2017-07-31,55.4,55.4,55.4,55.4
2017-08-31,54.7,54.7,54.7,54.7
2017-09-29,55.8,55.8,55.8,55.8
2017-10-31,55,55,55,55
2017-11-30,56.2,56.2,56.2,56.2
2017-12-29,56.6,56.6,56.6,56.6
2018-01-31,58.8,58.8,58.8,58.8
2018-02-28,56.2,56.2,56.2,56.2
2018-03-30,54.9,54.9,54.9,54.9
2018-04-30,54.7,54.7,54.7,54.7
2018-05-31,53.8,53.8,53.8,53.8
2018-06-29,55.1,55.1,55.1,55.1
2018-07-31,54.2,54.2,54.2,54.2
2018-08-31,54.7,54.7,54.7,54.7
2018-09-28,54.7,54.7,54.7,54.7
2018-10-31,53.7,53.7,53.7,53.7
2018-11-30,51.4,51.4,51.4,51.4
2018-12-31,51.9,51.9,51.9,51.9
2019-01-31,52.4,52.4,52.4,52.4
2019-02-28,52.8,52.8,52.8,52.8
2019-03-29,53.3,53.3,53.3,53.3
2019-04-30,52.8,52.8,52.8,52.8
2019-05-31,53.4,53.4,53.4,53.4
2019-06-28,53.6,53.6,53.6,53.6
2019-07-31,53.4,53.4,53.4,53.4
